P_x,P_y,O_z,O_w
1.1513929137,-4.134182142,0.604857535439,0.796333700042
1.43687154086,-3.16255636089,0.599196626935,0.800601899991
1.68503868313,-2.08333229182,0.526271058439,0.850316866262
2.16809295159,-1.19794708654,0.488162498552,0.87275275709
2.64330924771,-0.313525574558,0.527616667387,0.84948257916
3.07312098088,0.60358590935,0.549062069176,0.835781576844
3.4508452723,1.53480225337,0.565321233906,0.824870839886
3.8870205465,2.44187802283,0.52634200343,0.850272953484
4.4287405131,1.60064376559,-0.816452886621,0.577412057312
4.09439677507,0.646565679345,-0.810958264305,0.58510400234
3.56326790989,-0.211804644996,-0.832673806654,0.553763786928
3.07022853337,-1.08603059283,-0.899646992101,0.436618013374
2.61606136559,-1.9806488776,-0.85764864047,0.514236141768
2.15692886233,-2.98375186375,-0.729061766016,0.684447909876
3.11986337527,-2.70862183181,0.52044435045,0.853895589685
3.5047382013,-1.76947342658,0.53394686862,0.845518031441
3.96243495383,-0.863007284656,0.515265532809,0.857030589127
4.33875771824,0.0712247534231,0.530258450298,0.84783605484
4.74207539839,0.993846858872,0.53342986556,0.845844299223
5.72673541304,1.17282402759,-0.191713211627,0.981450989346
5.51907291198,0.183014688125,-0.816776836051,0.576953724392
5.1221411477,-0.752831780471,-0.868593566181,0.495525192891
4.64934414021,-1.64817129667,-0.85128256265,0.524707536184
4.23255759634,-2.5575648993,-0.856727286394,0.515769674126
3.71348942335,-3.42558434174,-0.897473532452,0.441068315057
