P_x,P_y,O_z,O_w
3.00168884589,-0.744464680887,0.981877961133,-0.189514298775
2.64542393768,-0.891488130807,0.979908446587,-0.199447828536
2.39697139759,-0.998900478389,0.978605368626,-0.205746281854
2.16274388372,-1.10352222363,0.977422188623,-0.211295681893
1.9249488759,-1.21322349751,0.976012131314,-0.217716144389
1.6911498258,-1.32494779238,0.974485354128,-0.224451096212
1.44701483225,-1.39892109827,0.976189759246,-0.216918311684
1.2172943849,-1.50790486464,0.975074579298,-0.221877364339
0.989662721113,-1.61815749103,0.97420159784,-0.225679522257
0.743348581972,-1.69913906699,0.97864989311,-0.205534393024
0.511818242805,-1.80226197514,0.977588961774,-0.21052273468
0.266943045788,-1.91465472224,0.97621193053,-0.21681851095
0.023395892807,-2.03103573029,0.974142558418,-0.2259342291
-0.220620204397,-2.11364459203,0.974935674683,-0.22248692148
-0.458015892841,-2.23025277289,0.973136692729,-0.230228098338
-0.690721173109,-2.34820418773,0.972235755047,-0.234003497
-0.958786335653,-2.46620655785,0.977360636288,-0.211580213241
-1.2001265292,-2.57631796446,0.97694642013,-0.213484641589
-1.45697647701,-2.6959258936,0.975566787461,-0.219703079637
-1.69582035692,-2.81128319121,0.974086994252,-0.226173666968
-1.97599438334,-2.88926698385,0.977655290633,-0.210214492119
-2.21251673202,-2.98099455262,0.991451840297,-0.13047317108
-2.30196753713,-2.99206645906,0.999836254441,0.0180959748183
-2.67801462477,-3.10226543609,0.961866263284,0.273520184915
-2.67698790186,-3.10858471407,0.889972686495,0.456013834541
-2.67415964492,-3.11441622576,0.795702450931,0.605687716222
-2.58504836581,-3.07460430546,0.672153023393,0.74041225891
-2.56297131976,-3.00101640082,0.531108702428,0.84730369184
-2.47866613282,-2.89541189097,0.37450040311,0.927226751162
-2.28272126198,-2.62456660065,0.288729392363,0.957410746746
-2.03104396001,-2.45604080144,0.292109126401,0.956384994797
-1.74371697784,-2.26433680832,0.287320804787,0.957834409038
-1.41374116591,-2.19156552634,0.260801435875,0.965392464776
-1.18760528748,-2.06147221872,0.252632136012,0.96756240308
-0.959902979536,-1.93970084166,0.234324140006,0.972158524836
-0.710666857235,-1.81551207527,0.228618352591,0.973516126656
-0.466099693399,-1.74073851013,0.217973090977,0.97595477949
-0.232775149039,-1.63000187485,0.221534317794,0.975152575774
-0.00183928739699,-1.51832857781,0.225132018834,0.974328268139
