vertex index,timestamp [ns],position x [m],position y [m],position z [m],quaternion x,quaternion y,quaternion z,quaternion w,velocity x [m/s],velocity y [m/s],velocity z [m/s],acc bias x [m/s^2],acc bias y [m/s^2],acc bias z [m/s^2],gyro bias x [rad/s],gyro bias y [rad/s],gyro bias z [rad/s]
0,1651752832414542096,1.20184249216675,0.0830735462934096,1.09058310331621,-0.00873467282432777,0.00280716055833358,-0.000657058904672375,0.999957695912106,0.000953290221897298,0.000877985518698887,-0.00155992660004251,-0.0586536287544465,0.0028040626453113,-0.038941965266317,0.00185447736681846,-0.00190820143043212,-0.00205391069388557
1,1651752832514540896,1.20186565321058,0.0830415110694408,1.09045858509359,-0.00871968759751034,0.00282441559184142,-0.000650080907676548,0.999957782668638,-0.000284853977793139,-0.00119220803729842,-0.00106122146815735,-0.0586536329538357,0.00280405810648412,-0.038941991880836,0.00185447664629928,-0.00190819952135458,-0.00205391202004405
2,1651752832714538400,1.20200364672569,0.0831641333319023,1.09026498993233,-0.00873609563232715,0.00287567843388788,-0.000621503008177948,0.999957511517694,0.00158294246092803,0.00112585840590881,-0.000871658391572393,-0.0586536345557607,0.00280402732272677,-0.0389426383754718,0.00185447441851041,-0.00190819020851179,-0.00205392336781775
3,1651752832814537200,1.20208864158358,0.0832104857238332,1.09018786353293,-0.0087475278639647,0.00289691461629061,-0.0006081318632443,0.999957358499657,-0.000193328871681073,0.000228970755471427,-0.000585744571034644,-0.0586535295424099,0.00280405804318629,-0.0389435006545311,0.0018544748287176,-0.00190818384827565,-0.0020539337941479
4,1651752832914535904,1.20197928407077,0.0832465741263985,1.09015155992459,-0.00874833105236865,0.00288837011690032,-0.000590539491104941,0.999957386734542,-0.00141481553207352,0.000359890526712767,-0.000344665970392902,-0.0586533023889888,0.00280412059183453,-0.0389448276398306,0.00185447670858647,-0.00190817742039566,-0.00205394754790775
5,1651752833014534800,1.20192331299828,0.0832081927236364,1.09012084230905,-0.0087337934432336,0.00287979731055752,-0.000582935004713092,0.999957543001862,0.000513254465979785,-0.00109294794715838,-0.000143776806363126,-0.0586530610130572,0.00280419538642654,-0.0389467141492861,0.00185447875396531,-0.00190817079583775,-0.00205396463303547
6,1651752833114533504,1.20204300678372,0.0831731197647987,1.09009531862203,-0.00872404431019253,0.00289654369164677,-0.000579297877999382,0.999957581850093,0.0017069697405101,0.00082255694933472,-0.00048025458105931,-0.0586528516231432,0.00280424340652585,-0.0389492396464504,0.00185448090982864,-0.00190816195622355,-0.00205398510430617
7,1651752833514528592,1.20209011841802,0.0831983367227728,1.09003855614282,-0.00872491789267035,0.00291082971195792,-0.000563676661431683,0.999957541672033,0.000212783974942838,-0.000965262220570942,0.000204133978681484,-0.0586509088386788,0.00280349526907258,-0.0389661702628346,0.00185449426132309,-0.00190812307810688,-0.00205410553255344
8,1651752833914523600,1.20200252863458,0.0832352158713282,1.09017907400621,-0.00873901544427831,0.00286514801709551,-0.000552020510014248,0.999957557003927,0.000582322940824807,-5.90882961237901e-05,0.000428564804459525,-0.0586455891664597,0.00279993126424185,-0.038994411414883,0.0018545132744749,-0.00190808835786297,-0.0020542891286478
9,1651752834314518704,1.20193240436284,0.0833804416228491,1.09033949501587,-0.00878939328827242,0.00280586859242594,-0.000534527581343958,0.999957293061724,-0.000414986006006827,0.00208995808621142,0.000920490877472298,-0.0586340420534285,0.00279119349455071,-0.0390319708565185,0.00185453148177638,-0.00190804748129103,-0.00205454178809709
10,1651752834714513792,1.20165501231683,0.0833208342894141,1.09075606853386,-0.0088364850702181,0.00265234525860689,-0.000565727014119893,0.999957279862084,-0.000605998730519393,0.000279430285293662,0.00106995981886921,-0.0586099898111583,0.00277429395690288,-0.0390746358466781,0.00185453389591721,-0.0019080050090801,-0.00205486264579985
11,1651752835114508992,1.20131203099996,0.0835725917005554,1.0913052838974,-0.00901184355787705,0.00242714332369763,-0.000591807360869307,0.999956271751431,-0.000409751584269421,0.000252360657539342,0.00162799734854079,-0.0585649417721009,0.00274016343447622,-0.0391167262741303,0.00185451911545689,-0.00190797227835385,-0.00205525377337993
