[2J[HNAME,CPU %,MEM %,MEM USAGE / LIMIT
arm64_sar_ros2_microros_run_1,6.15%,1.25%,49.46MiB / 3.871GiB
[2J[HNAME,CPU %,MEM %,MEM USAGE / LIMIT
arm64_sar_ros2_ekf_run_1,17.31%,0.58%,23MiB / 3.871GiB
arm64_sar_ros2_slam_toolbox_run_1,13.32%,0.97%,38.3MiB / 3.871GiB
arm64_sar_ros2_robot_state_pub_run_1,12.64%,0.56%,22.18MiB / 3.871GiB
arm64_sar_ros2_base_control_run_1,13.36%,1.08%,42.94MiB / 3.871GiB
arm64_sar_ros2_rplidar_run_1,7.16%,0.87%,34.3MiB / 3.871GiB
arm64_sar_ros2_joint_state_pub_run_1,6.96%,1.20%,47.42MiB / 3.871GiB
arm64_sar_ros2_microros_run_1,6.95%,1.25%,49.46MiB / 3.871GiB
[2J[HNAME,CPU %,MEM %,MEM USAGE / LIMIT
arm64_sar_ros2_ekf_run_1,17.31%,0.58%,23MiB / 3.871GiB
arm64_sar_ros2_slam_toolbox_run_1,13.32%,0.97%,38.3MiB / 3.871GiB
arm64_sar_ros2_robot_state_pub_run_1,12.64%,0.56%,22.18MiB / 3.871GiB
arm64_sar_ros2_base_control_run_1,13.36%,1.08%,42.94MiB / 3.871GiB
arm64_sar_ros2_rplidar_run_1,7.16%,0.87%,34.3MiB / 3.871GiB
arm64_sar_ros2_joint_state_pub_run_1,6.96%,1.20%,47.42MiB / 3.871GiB
arm64_sar_ros2_microros_run_1,6.95%,1.25%,49.46MiB / 3.871GiB
[2J[HNAME,CPU %,MEM %,MEM USAGE / LIMIT
arm64_sar_ros2_ekf_run_1,16.47%,0.58%,23MiB / 3.871GiB
arm64_sar_ros2_slam_toolbox_run_1,13.25%,0.97%,38.3MiB / 3.871GiB
arm64_sar_ros2_robot_state_pub_run_1,11.38%,0.56%,22.18MiB / 3.871GiB
arm64_sar_ros2_base_control_run_1,12.83%,1.08%,42.96MiB / 3.871GiB
arm64_sar_ros2_rplidar_run_1,7.73%,0.87%,34.31MiB / 3.871GiB
arm64_sar_ros2_joint_state_pub_run_1,6.39%,1.20%,47.42MiB / 3.871GiB
arm64_sar_ros2_microros_run_1,5.86%,1.25%,49.46MiB / 3.871GiB
[2J[HNAME,CPU %,MEM %,MEM USAGE / LIMIT
arm64_sar_ros2_ekf_run_1,16.47%,0.58%,23MiB / 3.871GiB
arm64_sar_ros2_slam_toolbox_run_1,13.25%,0.97%,38.3MiB / 3.871GiB
arm64_sar_ros2_robot_state_pub_run_1,11.38%,0.56%,22.18MiB / 3.871GiB
arm64_sar_ros2_base_control_run_1,12.83%,1.08%,42.96MiB / 3.871GiB
arm64_sar_ros2_rplidar_run_1,7.73%,0.87%,34.31MiB / 3.871GiB
arm64_sar_ros2_joint_state_pub_run_1,6.39%,1.20%,47.42MiB / 3.871GiB
